time,submitted,remote,running,completed
471.772876978,352,443,57,0
476.894877911,352,443,57,0
482.082878828,352,443,57,0
487.206628799,352,443,57,0
492.324840784,352,443,57,0
497.443874836,352,443,57,0
502.602705956,352,443,57,0
507.71587801,352,443,57,0
512.833884001,352,443,57,0
518.110872984,352,443,57,0
523.226625919,352,443,57,0
528.368277788,352,443,57,0
533.478876829,352,443,57,0
538.64692688,352,443,57,0
543.793889999,352,430,38,26
549.201869011,339,427,38,16
554.432882786,339,418,46,1
559.557856798,320,437,46,0
564.684873819,304,453,46,0
569.834177017,304,453,46,0
574.942655802,303,454,46,0
580.148875952,303,454,46,0
585.328916788,303,454,46,0
590.450874805,303,454,46,0
595.620842934,303,454,46,0
600.737946987,303,454,46,0
605.84087801,303,454,46,0
611.01789999,303,454,46,0
616.127875805,303,454,46,0
621.295900822,303,454,46,0
626.412325859,303,454,46,0
631.519606829,303,454,46,0
636.752882004,303,454,46,0
641.877883911,303,454,46,0
647.050876856,303,452,47,1
652.19787693,302,438,36,15
657.396868944,291,447,33,5
662.623627901,276,462,33,0
667.728597879,271,467,33,0
672.888866901,271,467,33,0
678.054637909,271,467,33,0
683.224875927,271,467,33,0
688.344874859,271,467,33,0
693.509638786,271,467,33,0
698.620875835,271,467,33,0
703.761878967,271,467,33,0
708.890872955,271,467,33,0
714.027628899,271,467,33,0
719.130877018,271,467,33,0
724.287875891,271,467,33,0
729.396875858,271,467,33,0
734.558876991,271,467,33,0
739.672879934,271,467,33,0
744.834887981,271,467,30,3
749.955878019,271,467,23,7
755.124880791,268,470,12,11
760.240883827,261,451,33,5
765.403623819,261,451,33,5
770.512892962,250,450,45,0
775.668626785,245,455,45,0
780.763877869,245,455,45,0
785.919874907,245,455,45,0
791.026875973,245,455,45,0
796.187881947,245,455,45,0
801.298616886,245,455,45,0
806.469882965,245,455,45,0
811.647947788,245,455,45,0
816.76187396,245,455,45,0
821.895615816,245,455,45,0
827.008875847,245,455,45,0
832.203280926,245,455,45,0
837.308874846,245,455,45,0
842.463877916,245,455,45,0
847.576659918,245,455,44,1
852.765877008,245,455,40,4
857.921643972,244,456,38,2
863.049628973,240,459,21,18
868.187772989,239,437,24,20
873.293922901,220,443,37,0
878.482077837,200,463,37,0
883.656772852,200,463,37,0
888.761632919,200,463,37,0
893.926065922,200,463,37,0
899.019623995,200,463,37,0
904.153541803,200,463,37,0
911.55832386,200,463,37,0
916.652629852,200,463,37,0
921.820037842,200,463,37,0
926.993458986,200,463,37,0
932.091687918,200,463,37,0
937.225699902,200,463,37,0
942.362874985,200,463,37,0
947.502625942,200,463,37,0
952.683892012,200,463,37,0
957.784628868,200,463,37,0
962.958088875,200,463,36,1
968.152153015,200,463,22,14
973.252760887,199,447,17,22
978.381929874,199,436,28,16
984.581875801,185,441,37,0
989.722952843,170,455,38,0
994.884873867,163,462,38,0
1000.00887585,163,462,38,0
1005.11497593,163,462,38,0
1010.51907301,163,462,38,0
1015.70794082,163,462,38,0
1020.82287598,163,462,38,0
1025.96985102,163,462,38,0
1031.10095787,163,462,38,0
1036.20385098,163,462,38,0
1041.32887697,163,462,38,0
1046.47688293,163,462,38,0
1051.56687689,163,462,38,0
1056.70987701,163,462,38,0
1061.84987783,163,462,38,0
1066.99787688,163,462,38,0
1072.09986782,163,462,38,0
1077.24489999,163,457,25,18
1082.41687679,163,452,20,10
1087.50762391,163,445,21,6
1092.64987898,145,448,35,1
1097.82288885,135,454,36,3
1102.98387599,128,461,36,0
1108.09087682,125,464,36,0
1113.2258749,125,464,36,0
1118.3717978,125,464,36,0
1123.46387696,125,464,36,0
1128.594625,125,464,36,0
1133.72860098,125,464,36,0
1138.86287284,125,464,36,0
1143.96687078,125,464,36,0
1149.08287597,125,464,36,0
1154.23562598,125,464,36,0
