time,submitted,remote,running,completed
9.53674316406e-07,0,0,0,0
5.04237484932,92,0,0,0
10.0959479809,162,0,0,0
15.1726329327,218,51,0,0
20.271684885,263,111,0,0
25.3536388874,296,182,0,0
30.4606380463,297,282,0,0
35.5507028103,344,342,0,0
40.6907498837,456,342,0,0
45.8910498619,557,342,0,0
51.1757259369,556,444,0,0
56.3016898632,441,559,0,0
61.4311008453,309,691,0,0
66.5593140125,300,700,0,0
71.6882560253,300,700,0,0
76.814647913,300,700,0,0
81.9393808842,300,700,0,0
87.060710907,300,700,0,0
92.2072689533,300,700,0,0
97.3318688869,300,700,0,0
102.458797932,300,700,0,0
107.605300903,300,700,0,0
112.731144905,300,700,0,0
117.858258009,300,700,0,0
122.98218298,300,700,0,0
128.102542877,300,700,0,0
133.226775885,300,700,0,0
138.351207972,300,700,0,0
143.475446939,300,700,0,0
148.597051859,300,700,0,0
153.722401857,300,700,0,0
158.845964909,300,699,1,0
163.972383976,300,648,52,0
169.091487885,300,639,61,0
174.217972994,300,639,61,0
179.364802837,300,639,61,0
184.488314867,300,639,61,0
189.610654831,300,639,61,0
194.740684032,300,639,61,0
199.866011858,300,639,61,0
205.010471821,300,639,61,0
210.131001949,300,639,61,0
215.253839016,300,639,61,0
220.378136873,300,639,61,0
225.505159855,300,639,61,0
230.630445957,300,639,61,0
235.751984835,300,639,61,0
240.876246929,300,639,61,0
246.013820887,300,639,61,0
251.131943941,300,639,61,0
256.25816083,300,639,61,0
261.386696815,300,639,61,0
266.525887966,300,639,61,0
271.675079823,300,639,61,0
276.799450874,300,639,61,0
281.935106039,300,639,61,0
287.069133997,300,639,61,0
292.194778919,300,639,61,0
297.310966015,300,639,61,0
302.455086946,300,639,61,0
307.600733042,300,637,63,0
312.747134924,300,611,89,0
317.878628016,300,611,89,0
323.021426916,300,611,89,0
328.145592928,300,611,89,0
333.271391869,300,611,89,0
338.430588007,300,611,89,0
343.552742958,300,611,89,0
348.679090977,300,611,89,0
353.815316916,300,611,89,0
358.939232826,300,611,89,0
364.060246944,300,611,89,0
369.186627865,300,611,89,0
374.318395853,300,611,89,0
379.442890882,300,611,89,0
384.567188025,300,611,89,0
389.692395926,300,611,89,0
394.821488857,300,611,89,0
399.958055973,300,611,89,0
405.07869792,300,611,89,0
410.209385872,300,611,89,0
415.337483883,300,611,89,0
420.461223841,300,611,89,0
425.587265015,300,611,89,0
430.712427855,300,611,89,0
435.868489981,300,611,89,0
440.987329006,300,611,89,0
446.109207869,300,605,95,0
451.229845047,300,590,110,0
456.353571892,300,589,111,0
461.478770971,300,589,111,0
466.597044945,300,589,111,0
471.723646879,300,589,111,0
476.849442959,300,589,111,0
481.976023912,300,589,111,0
487.103628874,300,589,111,0
492.27776885,300,589,111,0
497.402721882,300,589,111,0
502.544834852,300,589,111,0
507.667665958,300,589,111,0
512.790100813,300,589,111,0
517.919883013,300,589,111,0
523.035311937,300,589,111,0
528.155933857,300,589,111,0
533.282322884,300,589,111,0
538.406199932,300,589,111,0
543.530323029,300,589,111,0
548.659394979,300,589,111,0
553.80257082,300,589,111,0
558.941685915,300,589,111,0
564.066888809,300,589,111,0
569.186846018,300,589,111,0
574.311578035,300,589,111,0
579.432487011,300,589,111,0
585.020504951,300,589,111,0
590.143239021,300,589,111,0
595.268944025,300,588,112,0
600.390712976,300,575,125,0
605.514387846,300,575,125,0
610.639076948,300,575,125,0
615.763046026,300,575,125,0
620.889799833,300,575,125,0
626.026633024,300,575,125,0
631.182672977,300,575,125,0
636.301141977,300,575,125,0
641.432921886,300,575,125,0
646.549762964,300,575,125,0
651.67858386,300,575,125,0
656.804926872,300,575,125,0
661.974649906,300,575,125,0
667.094614029,300,575,125,0
672.22090888,300,575,125,0
677.341811895,300,575,125,0
682.461592913,300,575,125,0
687.596316814,300,575,125,0
692.732627869,300,575,125,0
697.869626999,300,575,125,0
702.993625879,300,575,125,0
708.112684011,300,575,125,0
713.242215872,300,575,125,0
718.368947983,300,575,125,0
723.509626865,300,575,125,0
728.637885809,300,575,125,0
733.774627924,300,575,125,0
738.896193027,300,558,142,0
744.022608995,300,558,142,0
749.166100979,300,557,143,0
754.304632902,300,557,143,0
759.442684889,300,557,143,0
764.56634593,300,557,143,0
769.690385818,300,557,143,0
774.812460899,300,557,143,0
779.938426018,300,557,143,0
785.056720018,300,557,143,0
790.178263903,300,557,143,0
795.303624868,300,557,143,0
800.428472996,300,557,143,0
805.565404892,300,557,143,0
810.696563005,300,557,143,0
815.835075855,300,557,143,0
820.982390881,300,557,143,0
826.111392975,300,557,143,0
831.252113819,300,557,143,0
836.390103817,300,557,143,0
841.518640995,300,557,143,0
848.432901859,300,557,143,0
853.555495024,300,557,143,0
858.686123848,300,557,143,0
863.810900927,300,557,143,0
868.948731899,300,557,143,0
874.082583904,300,557,143,0
879.205881834,300,539,161,0
884.330519915,300,539,161,0
889.456233978,300,526,174,0
894.580646038,300,526,174,0
899.705421925,300,526,174,0
904.829707861,300,526,174,0
909.953327894,300,526,174,0
915.078387022,300,526,174,0
920.236176968,300,526,174,0
925.373746872,300,526,174,0
930.51281786,300,526,174,0
935.661449909,300,526,174,0
940.798455,300,526,174,0
945.934834957,300,526,174,0
951.071277857,300,526,174,0
956.188871861,300,526,174,0
961.312160969,300,526,174,0
966.435552835,300,526,174,0
971.559752941,300,526,174,0
976.700469971,300,526,174,0
981.822088957,300,526,174,0
986.947906971,300,526,174,0
992.066849947,300,526,174,0
997.192837,300,526,174,0
1002.33335304,300,526,174,0
1007.45270395,300,526,174,0
1012.58031583,300,526,174,0
1017.70672703,300,526,174,0
1022.82947493,300,523,177,0
1027.95869803,300,520,180,0
1033.09043598,300,520,180,0
1038.21192884,300,520,180,0
1043.33665586,300,520,180,0
1048.46020985,300,520,180,0
1053.58339286,300,520,180,0
1058.72134185,300,520,180,0
1063.86728787,300,520,180,0
1069.00685883,300,520,180,0
1074.14060402,300,520,180,0
1079.26478386,300,520,180,0
1084.386132,300,520,180,0
1089.52421284,300,520,180,0
1094.64503002,300,520,180,0
1099.76789904,300,520,180,0
1104.894207,300,520,180,0
1110.02122998,300,520,180,0
1115.13776684,300,520,180,0
1120.26438689,300,520,180,0
1125.38581204,300,520,180,0
1130.50916481,300,520,180,0
1135.63565993,300,520,180,0
1140.75911903,300,520,180,0
1145.882411,300,520,180,0
1151.00875902,300,520,180,0
1156.12547994,300,520,180,0
1161.24638391,300,520,180,0
1166.37238383,300,513,187,0
1171.49938798,300,489,211,0
1176.65986681,300,481,219,0
1181.79669404,300,481,219,0
1186.96050692,300,481,219,0
1192.07697892,300,481,219,0
1197.21644783,300,481,219,0
1202.3453939,300,481,219,0
1207.47002482,300,481,219,0
1212.59529901,300,481,219,0
1217.72065496,300,481,219,0
1222.84562087,300,481,219,0
1227.97003794,300,481,219,0
1233.09265399,300,481,219,0
1238.21711302,300,481,219,0
1243.34215593,300,481,219,0
1248.48095584,300,481,219,0
1253.60105395,300,481,219,0
1258.72674203,300,481,219,0
1263.85155702,300,481,219,0
1268.97467494,300,481,219,0
1274.09366989,300,481,219,0
1279.21898198,300,481,219,0
1284.34134889,300,481,219,0
1289.46843696,300,481,219,0
1294.58893394,300,481,219,0
1300.68873882,300,481,219,0
1305.82388687,300,467,233,0
1310.94757605,300,456,244,0
1316.06864095,300,442,258,0
1321.19401789,300,442,258,0
1326.31425095,300,442,258,0
1331.43740201,300,442,258,0
1336.56241393,300,442,258,0
1341.700634,300,442,258,0
1346.82532692,300,442,258,0
1351.95465803,300,442,258,0
1357.07244587,300,442,258,0
1362.18782091,300,442,258,0
1367.31189895,300,442,258,0
1372.43233705,300,442,258,0
1377.55531383,300,442,258,0
1382.67821503,300,442,258,0
1387.81097603,300,442,258,0
1392.93502188,300,442,258,0
1398.06395197,300,442,258,0
1403.18508291,300,442,258,0
1408.30675101,300,442,258,0
1413.4313879,300,442,258,0
1418.55199504,300,442,258,0
1423.67510486,300,442,258,0
1428.799896,300,442,258,0
1433.92449594,300,442,258,0
1439.04050303,300,442,258,0
1444.16432595,300,441,259,0
1449.30030584,300,435,265,0
1454.42701697,300,435,265,0
1459.55338883,300,434,266,0
1464.67716694,300,434,266,0
1469.80038881,300,434,266,0
1474.93333292,300,434,266,0
1480.06767988,300,434,266,0
1485.2221849,300,434,266,0
1490.35264897,300,434,266,0
1495.47621703,300,434,266,0
1500.61855698,300,434,266,0
1505.74513483,300,434,266,0
1510.87276793,300,434,266,0
1515.99747801,300,434,266,0
1521.12060785,300,434,266,0
1526.24439788,300,434,266,0
1531.38673401,300,434,266,0
1536.50992393,300,434,266,0
1541.63210297,300,434,266,0
1546.75510502,300,434,266,0
1551.88266492,300,434,266,0
1557.00758982,300,434,266,0
1562.12381196,300,434,266,0
1567.45037985,300,434,266,0
1572.571877,300,434,266,0
1577.69287395,300,434,266,0
1582.82653689,300,434,266,0
1587.95112205,300,434,266,0
1593.09530091,300,433,267,0
1598.21975899,300,432,268,0
1603.34177303,300,423,277,0
1608.46362996,300,423,277,0
1613.58734989,300,423,277,0
1618.70822191,300,423,277,0
1623.8458879,300,423,277,0
1628.96800804,300,423,277,0
1634.10288501,300,423,277,0
1639.22632885,300,423,277,0
1644.35075283,300,423,277,0
1649.47732997,300,423,277,0
1654.59728503,300,423,277,0
1659.72281384,300,423,277,0
1664.8481729,300,423,277,0
1669.97138596,300,423,277,0
1675.10490203,300,423,277,0
1680.23057294,300,423,277,0
1685.35005903,300,423,277,0
1690.47564697,300,423,277,0
1695.60067987,300,423,277,0
1700.72963595,300,423,277,0
1705.85440087,300,423,277,0
1710.98026085,300,423,277,0
1716.09795499,300,423,277,0
1721.22857594,300,423,277,0
1726.35580802,300,423,277,0
1731.48039103,300,423,277,0
1736.60645986,300,419,281,0
1741.73269486,300,416,284,0
1746.88526797,300,412,288,0
1752.01539087,300,412,288,0
1757.14356899,300,412,288,0
1762.26953697,300,412,288,0
1767.39860582,300,412,288,0
1772.52160788,300,412,288,0
1777.65124893,300,412,288,0
1782.77224302,300,412,288,0
1787.90107703,300,412,288,0
1793.04121995,300,412,288,0
1798.16558981,300,412,288,0
1803.28867602,300,412,288,0
1808.4286139,300,412,288,0
1813.54899788,300,412,288,0
1818.67412186,300,412,288,0
1823.79778004,300,412,288,0
1828.93878794,300,412,288,0
1834.07830691,300,412,288,0
1839.20255685,300,412,288,0
1844.32674098,300,412,288,0
1849.45097804,300,412,288,0
1854.57480884,300,412,288,0
1859.70231986,300,412,288,0
1864.82514,300,412,281,7
1869.950459,300,412,277,4
1875.07034802,293,419,277,0
1880.19931483,289,423,277,0
1885.32075787,289,419,281,0
1890.44609404,289,418,282,0
1895.56763482,289,418,282,0
1900.70187092,289,418,282,0
1905.82613182,289,418,282,0
1910.96422482,289,418,282,0
1916.09048581,289,418,282,0
1921.21409798,289,418,282,0
1926.34065485,289,418,282,0
1931.46088696,289,418,282,0
1936.58238792,289,418,282,0
1941.72040892,289,418,282,0
1946.84718299,289,418,282,0
1951.96666384,289,418,282,0
1957.08589888,289,418,282,0
1962.20834804,289,418,282,0
1967.33102298,289,418,282,0
1972.45381784,289,418,282,0
1977.59257483,289,418,282,0
1982.73204494,289,418,282,0
1987.84351993,289,418,282,0
1992.96130395,289,418,282,0
1998.08141303,289,418,282,0
2003.19956398,289,418,282,0
2008.32089996,289,418,249,33
2013.44093704,289,418,232,17
2018.55072999,267,440,232,0
2023.67864799,239,441,259,0
2028.81509089,239,441,259,0
2033.93437886,239,407,293,0
2039.07669282,239,400,300,0
2044.2010169,239,400,300,0
2049.32353592,239,400,300,0
2054.48021293,239,400,300,0
2059.59004092,239,400,300,0
2064.70774603,239,400,300,0
2069.81822586,239,400,300,0
2074.93945503,239,400,300,0
2080.05039597,239,400,300,0
2085.18702698,239,400,300,0
2090.31928301,239,400,300,0
2095.42826986,239,400,300,0
2100.56063795,239,400,300,0
2105.67542982,239,400,300,0
2110.81996298,239,400,300,0
2115.9349649,239,400,300,0
2121.05241084,239,400,300,0
2126.17111182,239,400,300,0
2131.28880596,239,400,300,0
2136.42864585,239,400,300,0
2141.56463194,239,400,300,0
2146.68867803,239,400,298,2
2151.81048703,239,400,268,30
2156.91760492,237,402,268,0
2162.02057695,207,432,268,0
2167.14038897,207,432,268,0
2172.37713289,207,432,268,0
2177.49561286,207,428,272,0
2182.6112709,207,403,297,0
2187.75610805,207,390,310,0
2192.86013389,207,390,310,0
2197.99538803,207,390,310,0
2203.176898,207,390,310,0
2208.29392505,207,390,310,0
2213.41367292,207,390,310,0
2218.53090501,207,390,310,0
2223.64899302,207,390,310,0
2228.76706386,207,390,310,0
2233.89705181,207,390,310,0
2239.01338983,207,390,310,0
2244.13208604,207,390,310,0
2249.24896502,207,390,310,0
2254.36438203,207,390,310,0
2259.50234699,207,390,310,0
2264.615448,207,390,310,0
2269.72948694,207,390,310,0
2274.85012293,207,390,310,0
2279.95338297,207,390,310,0
2285.08052397,207,390,310,0
2290.19740582,207,390,300,10
2295.31548595,207,390,292,8
2300.42838287,197,400,289,3
2305.55637693,189,408,287,2
2310.70749998,186,411,286,1
2315.82020283,184,412,287,0
2320.93590283,183,402,298,0
2326.69562483,183,374,326,0
2331.92985392,183,373,327,0
2337.04882002,183,364,336,0
2342.16184402,183,364,336,0
2347.27238083,183,364,336,0
2352.39865184,183,364,336,0
2357.51025391,183,364,336,0
2362.62247992,183,364,336,0
2367.75031185,183,364,336,0
2372.87573004,183,364,336,0
2377.98716903,183,364,336,0
2383.09738898,183,364,336,0
2388.224509,183,364,336,0
2393.34454393,183,364,336,0
2398.46190095,183,364,336,0
2403.57402992,183,364,336,0
2408.70314884,183,364,336,0
2413.81500483,183,364,336,0
2418.92752695,183,364,336,0
2424.03538084,183,364,336,0
2429.1614759,183,364,336,0
2434.27343392,183,364,336,0
2439.38638282,183,364,328,8
2444.51863098,183,364,328,8
2449.6471529,183,364,324,4
2454.75837803,183,364,320,4
2459.90209484,171,376,319,1
2465.0160799,167,379,320,0
2470.12349391,166,376,324,0
2475.24863291,166,370,330,0
2480.35918903,166,361,339,0
2485.47738004,166,361,339,0
2490.60385489,166,361,339,0
2495.71438694,166,361,339,0
2500.82238197,166,361,339,0
2505.95039582,166,361,339,0
2511.07438803,166,361,339,0
2516.18239284,166,361,339,0
2521.307235,166,361,339,0
2526.41641188,166,361,339,0
2531.53120685,166,361,339,0
2536.66324091,166,361,339,0
2541.78294086,166,361,339,0
2546.9046309,166,361,339,0
2552.036412,166,361,339,0
2557.14749885,166,361,339,0
2562.26061392,166,361,339,0
2567.39017701,166,361,339,0
2572.50559092,166,361,339,0
2577.63418484,166,361,339,0
2582.75718904,166,361,328,11
2587.88599896,166,361,324,4
2593.00869083,155,372,324,0
2598.14778399,151,376,315,9
2603.27139997,151,376,315,0
2608.38883996,142,385,315,0
2613.51249981,142,382,318,0
2618.67463684,142,365,335,0
2623.79737997,142,365,335,0
2628.91949081,142,363,337,0
2634.02593899,142,363,337,0
2639.14039588,142,363,337,0
2644.26324391,142,363,337,0
2649.371382,142,363,337,0
2654.49235988,142,363,337,0
2659.60138893,142,363,337,0
2664.72191501,142,363,337,0
2669.83024693,142,363,337,0
2674.93957186,142,363,337,0
2680.05883193,142,363,337,0
2685.18193603,142,363,337,0
2690.30676198,142,363,337,0
2695.43156981,142,363,337,0
2700.55051303,142,363,337,0
2705.66398883,142,363,337,0
2710.77141404,142,363,337,0
2715.89510894,142,363,337,0
2721.00360799,142,363,337,0
2726.12775898,142,363,332,5
2731.23838091,142,363,331,1
2736.35989904,137,368,331,0
2741.46638298,136,369,317,14
2746.60415292,136,369,316,1
2751.71238303,121,383,317,0
2756.83262992,121,383,317,0
2761.95437884,121,383,317,0
2767.13183784,121,353,347,0
2772.23838186,121,350,350,0
2777.35575199,121,350,350,0
2782.46507788,121,350,350,0
2787.58877587,121,350,350,0
2792.696702,121,350,350,0
2797.80843496,121,350,350,0
2802.92876482,121,350,350,0
2808.02938104,121,350,350,0
2813.14887786,121,350,350,0
2818.25459194,121,350,350,0
2823.37525487,121,350,350,0
2828.48438001,121,350,350,0
2833.60313392,121,350,350,0
2838.70037699,121,350,350,0
2843.80914903,121,350,350,0
2848.90337992,121,350,350,0
2854.02069998,121,350,350,0
2859.12437987,121,350,350,0
2864.24289393,121,350,350,0
2869.35038185,121,350,350,0
2874.47580099,121,350,350,0
2879.58437991,121,350,349,1
2884.69335985,121,350,348,1
2889.81763482,120,351,348,0
2894.93538284,119,351,349,0
2900.04962802,119,351,349,0
2905.1733849,119,349,351,0
2910.29939604,119,332,368,0
2915.40538502,119,315,385,0
2920.52452803,119,315,385,0
2925.63137984,119,315,385,0
2930.75050187,119,315,385,0
2935.85938501,119,315,385,0
2940.97823,119,315,385,0
2946.07838702,119,315,385,0
2951.19211483,119,315,385,0
2956.29938293,119,315,385,0
2961.41738796,119,315,385,0
2966.53751993,119,315,385,0
2971.64438295,119,315,385,0
2976.7699759,119,315,385,0
2981.89263582,119,315,385,0
2987.01063585,119,315,385,0
2992.11438203,119,315,385,0
2997.23298001,119,315,385,0
3002.353863,119,315,385,0
3007.47387195,119,315,385,0
3012.60335493,119,315,383,2
3017.72462583,119,315,380,3
3022.86163402,117,317,356,24
3027.97063184,114,320,332,24
3033.1021049,90,344,332,0
3038.21456695,66,368,332,0
3043.68342781,66,368,332,0
3048.79462504,66,366,334,0
3053.89439297,66,321,379,0
3059.00891805,66,316,384,0
3064.10760784,66,316,384,0
3069.22440386,66,316,384,0
3074.33821392,66,316,384,0
3079.43838787,66,316,384,0
3084.55277395,66,316,384,0
3089.66831493,66,316,384,0
3094.7693789,66,316,384,0
3099.88217592,66,316,384,0
3104.98538303,66,316,384,0
3110.09452295,66,316,384,0
3115.20782304,66,316,384,0
3120.30940294,66,316,384,0
3125.42043591,66,316,384,0
3130.53309298,66,316,384,0
3135.63338184,66,316,384,0
3140.74624991,66,316,384,0
3145.85072398,66,316,384,0
3150.96503782,66,316,379,5
3156.07681799,66,316,376,3
3161.18933797,61,321,375,1
3166.29238391,58,324,362,13
3171.43062997,57,325,360,2
3176.5610559,44,338,360,0
3181.66338682,42,339,361,0
3186.76959682,42,339,361,0
3191.88076782,42,332,368,0
3196.97838283,42,307,393,0
3202.07709098,42,284,416,0
3207.18792295,42,284,416,0
3212.28838301,42,284,416,0
