time,submitted,remote,running,completed
0.0,0,0,0,0
5.03001999855,84,0,0,0
10.0907649994,196,0,0,0
15.1520459652,314,0,0,0
20.2070219517,434,0,0,0
25.3148019314,556,0,0,0
30.3940269947,679,0,0,0
35.4902739525,800,0,0,0
40.5897710323,918,0,0,0
45.694658041,1000,0,0,0
50.8147470951,1000,0,0,0
55.9242620468,1000,0,0,0
61.0334770679,1000,0,0,0
66.156386137,981,0,19,0
71.2624869347,981,0,19,0
76.3725180626,981,0,19,0
81.4859890938,981,0,19,0
86.5973911285,981,0,19,0
91.7077131271,981,0,19,0
97.0157699585,981,0,19,0
102.150367975,980,0,20,0
107.296028137,980,0,20,0
112.429666996,980,0,20,0
117.541420937,980,0,20,0
122.653087139,980,0,20,0
127.764980078,980,0,20,0
132.881772041,980,0,20,0
137.992532969,980,0,20,0
143.112138987,980,0,20,0
148.220705032,980,0,20,0
153.337716103,980,0,20,0
158.452131033,980,0,20,0
163.577065945,980,0,20,0
168.682532072,961,0,20,0
173.797922134,961,0,20,0
178.907997131,961,0,20,0
184.017965078,941,0,40,0
189.135638952,941,0,40,0
194.238893986,941,0,40,0
199.360100985,941,0,40,0
204.483274937,940,0,40,0
209.641189098,940,0,40,0
214.748765945,940,0,40,0
219.86103797,940,0,40,0
224.970415115,940,0,40,0
230.080528021,940,0,40,0
235.191818953,940,0,40,0
240.308342934,940,0,40,0
245.439365149,940,0,40,0
250.567052126,940,0,40,0
255.676954985,940,0,40,0
260.785495043,920,0,60,0
265.895632982,920,0,60,0
271.002637148,901,0,60,0
276.143700123,901,0,60,0
281.249801159,901,0,60,0
286.601945162,881,0,60,0
291.714779139,881,0,60,0
296.822845936,881,0,60,0
301.956709146,881,0,60,0
307.252865076,880,0,60,0
312.360321045,880,0,60,0
317.467620134,880,0,60,0
322.5741961,880,0,60,0
327.713317156,880,0,60,0
332.823119164,880,0,60,0
337.929136992,880,0,60,0
343.037789106,880,0,60,0
348.143010139,880,0,60,0
353.755172014,880,0,60,0
358.865070105,880,0,60,0
363.970046997,861,0,60,0
369.079977036,831,0,80,0
374.184004068,821,0,80,0
379.282243013,821,0,80,0
384.385375023,812,0,80,0
389.548496962,801,0,80,0
394.650068998,801,0,80,0
399.771760941,801,0,80,0
404.876208067,801,0,80,0
409.972774029,800,0,80,0
415.08118701,800,0,80,0
420.182773113,800,0,80,0
425.293497086,800,0,80,0
430.396454096,800,0,80,0
435.502545118,800,0,80,0
440.603243113,800,0,80,0
445.705774069,800,0,80,0
450.824013948,800,0,80,0
455.928296089,800,0,80,0
461.040003061,800,0,80,0
466.161476135,781,0,80,0
471.26279211,750,0,80,0
476.405658007,741,0,80,0
481.503109932,741,0,80,0
486.599043131,734,0,80,0
491.746884108,702,0,99,0
496.999987125,702,0,99,0
502.095771074,702,0,99,0
507.204986095,702,0,99,0
512.295733929,700,0,100,0
517.388767004,700,0,100,0
522.493589163,700,0,100,0
527.584028006,700,0,100,0
532.69977212,700,0,100,0
537.80391407,700,0,100,0
542.901190996,700,0,100,0
547.994773149,700,0,100,0
553.100978136,700,0,100,0
558.194771051,700,0,100,0
563.290832043,700,0,100,0
568.385094166,682,0,100,0
573.493499994,632,0,119,0
578.664031982,622,0,119,0
583.750776052,622,0,119,0
588.856029034,615,0,119,0
593.958220959,597,0,119,0
599.184020042,583,0,119,0
604.265773058,583,0,119,0
609.397017002,583,0,119,0
614.498454094,581,0,119,0
619.592218161,581,0,119,0
624.670773029,581,0,119,0
629.767394066,581,0,119,0
634.857774019,581,0,119,0
639.956279993,581,0,119,0
645.043766975,581,0,119,0
650.140113115,581,0,119,0
655.218773127,581,0,119,0
660.313856125,581,0,119,0
665.398767948,581,0,119,0
670.493788004,565,0,119,0
675.60809803,514,0,119,0
680.696298122,483,0,139,0
685.786380053,483,0,139,0
690.863765955,480,0,139,0
696.052767038,462,0,139,0
701.188971043,444,0,139,0
706.274866104,444,0,139,0
711.35968399,444,0,139,0
716.458112001,442,0,139,0
721.54211998,442,0,139,0
726.642516136,442,0,139,0
731.737442017,442,0,139,0
736.812767029,442,0,139,0
741.89874506,442,0,139,0
746.986449003,442,0,139,0
752.064032078,442,0,139,0
757.15378809,442,0,139,0
762.236433983,423,0,158,0
767.314773083,423,0,158,0
772.398703098,411,0,158,0
777.517030954,361,0,158,0
782.594850063,332,0,158,0
787.722015142,324,0,159,0
792.862015009,323,0,159,0
797.941730976,304,0,159,0
803.008765936,285,0,159,0
808.074553967,285,0,159,0
813.145031929,285,0,159,0
818.215152979,283,0,159,0
823.285743952,283,0,159,0
828.354973078,283,0,159,0
833.451749086,283,0,159,0
838.543158054,283,0,159,0
843.607773066,283,0,159,0
848.684024096,283,0,159,0
853.758773088,283,0,159,0
858.831902027,283,0,159,0
863.898774147,271,0,159,1
869.248769045,249,0,174,0
874.316058159,240,0,174,0
879.396027088,200,0,174,0
884.624022961,168,0,174,0
889.712438107,148,0,176,0
894.786055088,147,0,176,0
899.844180107,129,0,176,0
904.902513027,109,0,176,0
909.971936941,109,0,176,0
915.042856932,109,0,176,0
920.094773054,108,0,176,0
925.15301609,107,0,176,0
930.256438017,107,0,176,0
935.312811136,107,0,176,0
940.367663145,107,0,176,0
945.425239086,107,0,176,0
950.480019093,94,0,189,0
955.586018085,94,0,189,0
960.642895937,94,0,189,0
965.713354111,88,0,189,0
970.769345045,65,0,189,0
975.82427597,52,0,192,0
980.872055054,15,0,192,0
985.933014154,0,0,176,0
991.026172161,0,0,149,0
996.077039003,0,0,148,0
1001.12080002,0,0,132,0
1006.15963602,0,0,109,0
1011.19847202,0,0,109,0
1016.23699093,0,0,109,0
1021.31199503,0,0,109,0
1026.366745,0,0,107,0
1031.40774512,0,0,107,0
1036.44774699,0,0,107,0
1041.48674512,0,0,107,0
1046.52702713,0,0,107,0
1051.59774303,0,0,99,0
1056.63487411,0,0,94,0
1062.17751408,0,0,94,0
1067.21436715,0,0,94,0
1072.25113702,0,0,71,0
1077.32577109,0,0,60,0
1082.36007094,0,0,20,0
1087.39192414,0,0,0,0
1092.42151594,0,0,0,0
1097.44867897,0,0,0,0
1102.47684216,0,0,0,0
1107.50619102,0,0,0,0
